Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-15a	562	168.419387	N	2323	253.983623	N	2263	402.178767	N	2332	242.512832	N
hsa-mir-15b	418	125.265665	N	2495	272.789126	N	3512	624.150169	N	2854	296.797437	N
hsa-mir-16-1	1931	578.679424	N	7291	797.156520	N	10507	1867.296646	N	7896	821.132643	N
hsa-mir-16-2	15	4.495179	N	93	10.168092	N	179	31.811754	N	85	8.839447	N
hsa-mir-17	1317	394.676749	Y	5909	646.056492	Y	4882	867.625604	Y	4702	488.977417	Y
hsa-mir-181a-1	7415	2222.117002	N	62028	6781.789145	N	22185	3942.702588	N	48243	5016.958219	N
hsa-mir-181a-2	2657	796.246106	N	11208	1225.419048	N	9526	1692.954016	N	14898	1549.295101	N
hsa-mir-181b-1	791	237.045792	N	5589	611.069509	N	1907	338.910698	N	4683	487.001541	N
hsa-mir-181b-2	7	2.097750	N	36	3.936035	N	23	4.087544	N	69	7.175551	N
hsa-mir-181c	250	74.919656	N	852	93.152840	N	1881	334.289996	N	1113	115.744761	N
hsa-mir-181d	70	20.977504	N	160	17.493491	N	285	50.649999	N	168	17.470907	N
hsa-mir-182	79096	23703.380495	N	3966	433.619910	N	20502	3643.601012	N	9135	949.980584	N
hsa-mir-1825	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1827	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-183	22363	6701.713083	N	1678	183.462987	N	6661	1183.788233	N	4411	458.715310	N
hsa-mir-184	3	0.899036	N	1	0.109334	N	0	0.000000	N	2	0.207987	N
hsa-mir-185	271	81.212907	N	612	66.912603	N	761	135.244384	N	467	48.564963	N
hsa-mir-186	343	102.789768	N	2065	225.775369	N	1551	275.642629	N	2611	271.527018	N
hsa-mir-187	1538	460.905725	N	338	36.955000	N	526	93.480350	N	133	13.831135	N
hsa-mir-188	16	4.794858	N	65	7.106731	N	67	11.907193	N	56	5.823636	N
hsa-mir-18a	19	5.693894	N	144	15.744142	Y	224	39.809122	Y	86	8.943441	Y
hsa-mir-18b	0	0.000000	N	9	0.984009	Y	17	3.021228	Y	4	0.415974	Y
hsa-mir-190	11	3.296465	N	61	6.669393	N	34	6.042456	N	65	6.759577	N
hsa-mir-1908	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1909	0	0.000000	N	1	0.109334	N	0	0.000000	N	0	0.000000	N
hsa-mir-190b	0	0.000000	N	3	0.328003	N	5	0.888596	N	1	0.103993	N
hsa-mir-191	1265	379.093460	N	4334	473.854939	N	4086	726.161045	N	7679	798.566054	N
